name,code,product_link
2.4 MP HDCVI VF IR Vandal Dome Camera - 30Mtr.,CP-UVC-D3200L3,http://www.cpplusworld.com/cp-uvc-d3200l3
2.4 MP HDCVI VF IR Bullet Camera - 30Mtr.,CP-UVC-T3200L3,http://www.cpplusworld.com/cp-uvc-t3200l3
2.4 MP HDCVI VF IR Bullet Camera - 60Mtr.,CP-UVC-TB20FL6,http://www.cpplusworld.com/cp-uvc-tb20fl6
2.4 MP HDCVI VF IR Vandal Dome Camera - 50Mtr.,CP-UVC-VC20FL5-A,http://www.cpplusworld.com/cp-uvc-vc20fl5-a
2.4 MP Astra HD IR Dome Camera - 20 Mtr.,CP-GTC-D24L2,http://www.cpplusworld.com/cp-gtc-d24l2
2.4 MP Astra HD IR Dome Camera - 30 Mtr.,CP-GTC-D24L3,http://www.cpplusworld.com/cp-gtc-d24l3
2.4 MP Astra HD VF IR Dome Camera - 40 Mtr.,CP-GTC-D24FL4,http://www.cpplusworld.com/cp-gtc-d24fl4
2.4 MP Astra HD IR Bullet Camera - 20 Mtr.,CP-GTC-T24L2C,http://www.cpplusworld.com/cp-gtc-t24l2c
2.4 MP Full HD IR Dome Camera - 20 Mtr.,CP-VAC-D24L2,http://www.cpplusworld.com/cp-vac-d24l2
2.4 MP Full HD IR Dome Camera - 30 Mtr.,CP-VAC-D24L3,http://www.cpplusworld.com/cp-vac-d24l3
2.4 MP Full HD VF IR Vandal Dome Camera - 40 Mtr.,CP-VAC-V24FL4,http://www.cpplusworld.com/cp-vac-v24fl4
2.4 MP Full HD IR Bullet Camera - 20 Mtr.,CP-VAC-T24PL2,http://www.cpplusworld.com/cp-vac-t24pl2